lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,is_family,has_agent,has_company,adr_per_guest,prev_cancel_ratio,hotel,arrival_date_month,arrival_weekday,meal,country,market_segment,distribution_channel,reserved_room_type,deposit_type,customer_type,agent,company,is_canceled
27,2016,25,13,1,3,1,0,0,0,0,0,2,0,104.72,0,1,4,1,0,1,0,104.72,0.0,City Hotel,June,Monday,BB,NLD,Online TA,TA/TO,D,No Deposit,Transient,7.0,,0
190,2016,44,29,2,1,2,0,0,0,0,0,0,0,105.3,1,1,3,2,0,1,0,52.65,0.0,City Hotel,October,Saturday,BB,BRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
113,2017,17,29,4,6,2,0,0,0,0,0,0,0,79.85,0,0,10,2,0,1,0,39.925,0.0,Resort Hotel,April,Saturday,HB,GBR,Offline TA/TO,TA/TO,D,No Deposit,Transient,69.0,,0
46,2016,44,29,2,1,2,0,0,0,0,0,1,0,58.0,0,1,3,2,0,0,0,29.0,0.0,Resort Hotel,October,Saturday,BB,PRT,Direct,Direct,A,No Deposit,Transient,,,0
74,2017,12,23,1,3,3,0,0,0,0,0,0,0,117.3,0,0,4,3,0,1,0,39.1,0.0,City Hotel,March,Thursday,BB,DEU,Online TA,TA/TO,E,No Deposit,Transient,9.0,,1
144,2015,33,15,2,5,2,0,0,0,0,0,1,0,119.25,1,2,7,2,0,1,0,59.625,0.0,Resort Hotel,August,Saturday,BB,SWE,Offline TA/TO,TA/TO,E,No Deposit,Contract,156.0,,0
1,2016,6,6,1,1,1,0,0,0,0,0,0,0,86.0,0,0,2,1,0,1,0,86.0,0.0,City Hotel,February,Saturday,BB,BEL,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
236,2016,40,27,0,4,2,0,0,0,0,0,1,0,84.43,0,1,4,2,0,1,0,42.215,0.0,City Hotel,September,Tuesday,SC,GBR,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
41,2016,17,21,0,1,2,0,0,0,0,0,0,0,81.08,0,0,1,2,0,1,0,40.54,0.0,City Hotel,April,Thursday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,7.0,,1
17,2015,35,29,0,1,2,2,1,0,0,0,1,0,153.0,0,2,1,5,1,1,0,30.6,0.0,City Hotel,August,Saturday,BB,PRT,Online TA,TA/TO,F,No Deposit,Transient-Party,9.0,,0
85,2016,45,2,2,6,2,0,0,0,0,0,0,0,37.8,0,1,8,2,0,1,0,18.9,0.0,Resort Hotel,November,Wednesday,BB,DEU,Online TA,TA/TO,A,No Deposit,Transient,242.0,,0
133,2017,8,22,0,3,2,0,0,0,0,0,0,0,127.8,0,1,3,2,0,1,0,63.9,0.0,City Hotel,February,Wednesday,HB,ROU,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
170,2017,27,8,2,1,2,0,0,0,0,0,0,0,152.1,0,1,3,2,0,1,0,76.05,0.0,City Hotel,July,Saturday,BB,NOR,Online TA,TA/TO,D,No Deposit,Transient-Party,9.0,,0
67,2016,19,7,0,1,3,0,0,0,0,0,0,0,159.3,0,0,1,3,0,1,0,53.1,0.0,City Hotel,May,Saturday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
75,2016,18,25,1,3,2,0,0,0,0,0,0,0,103.7,0,1,4,2,0,1,0,51.85,0.0,City Hotel,April,Monday,BB,AUT,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
29,2016,9,24,0,4,2,0,0,0,0,0,0,0,66.0,0,0,4,2,0,1,0,33.0,0.0,City Hotel,February,Wednesday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,28.0,,0
101,2015,50,8,0,1,1,0,0,0,0,0,0,0,63.75,0,1,1,1,0,1,0,63.75,0.0,City Hotel,December,Tuesday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
100,2016,27,28,0,1,2,1,0,0,0,0,0,0,130.5,0,2,1,3,1,1,0,43.5,0.0,City Hotel,June,Tuesday,BB,ROU,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
4,2016,49,29,0,3,2,0,0,0,0,0,1,0,138.33,0,0,3,2,0,1,0,69.165,0.0,City Hotel,November,Tuesday,HB,ITA,Direct,Direct,A,No Deposit,Transient,14.0,,0
166,2016,28,4,3,7,2,0,0,0,0,0,0,0,83.8,0,0,10,2,0,1,0,41.9,0.0,Resort Hotel,July,Monday,HB,POL,Offline TA/TO,TA/TO,A,No Deposit,Transient,315.0,,0
221,2017,25,23,2,7,2,0,0,0,0,0,0,0,129.4,0,1,9,2,0,1,0,64.7,0.0,City Hotel,June,Friday,BB,IRL,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
7,2016,48,21,1,3,1,0,0,1,0,5,0,0,27.0,0,0,4,1,0,1,0,27.0,0.0,Resort Hotel,November,Monday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,154.0,,0
47,2017,5,1,0,4,2,0,0,0,0,0,0,0,74.8,0,2,4,2,0,1,0,37.4,0.0,City Hotel,February,Wednesday,SC,HUN,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
152,2016,28,3,2,5,2,0,1,0,0,0,0,0,121.6,0,1,7,3,1,1,0,40.53333333333333,0.0,Resort Hotel,July,Sunday,FB,PRT,Offline TA/TO,TA/TO,D,No Deposit,Transient,15.0,,1
117,2016,18,27,1,4,2,0,0,0,0,0,0,0,82.45,0,0,5,2,0,1,0,41.225,0.0,City Hotel,April,Wednesday,SC,ROU,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
211,2017,18,2,2,5,2,0,0,0,0,0,0,0,40.95,0,0,7,2,0,1,0,20.475,0.0,Resort Hotel,May,Tuesday,BB,GBR,Offline TA/TO,TA/TO,A,No Deposit,Contract,40.0,,0
117,2015,31,1,2,1,3,0,0,0,0,0,1,0,138.5,0,0,3,3,0,1,0,46.166666666666664,0.0,City Hotel,August,Saturday,HB,ITA,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,17.0,,0
0,2017,2,14,2,3,2,0,0,0,0,0,0,0,88.74,0,0,5,2,0,1,0,44.37,0.0,City Hotel,January,Saturday,BB,HRV,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
43,2015,38,17,0,1,2,0,0,0,0,0,0,0,94.5,0,2,1,2,0,1,0,47.25,0.0,City Hotel,September,Thursday,BB,RUS,Online TA,TA/TO,A,No Deposit,Contract,9.0,,0
147,2017,24,11,2,2,3,0,0,0,0,0,0,0,190.8,0,0,4,3,0,1,0,63.6,0.0,City Hotel,June,Sunday,BB,PHL,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
0,2016,23,29,2,1,1,0,0,0,0,0,0,0,76.0,1,0,3,1,0,0,0,76.0,0.0,Resort Hotel,May,Sunday,BB,,Direct,Direct,A,No Deposit,Transient,,,0
0,2016,15,7,0,1,1,0,0,1,1,13,0,0,42.0,0,0,1,1,0,1,0,42.0,0.0714285714285714,Resort Hotel,April,Thursday,BB,PRT,Direct,Corporate,A,No Deposit,Transient,47.0,,0
8,2017,7,15,0,1,1,0,0,1,0,1,0,0,54.0,0,0,1,1,0,0,1,54.0,0.0,Resort Hotel,February,Wednesday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,331.0,0
79,2016,15,4,1,2,2,2,0,0,0,0,0,0,162.3,0,2,3,4,1,1,0,40.575,0.0,City Hotel,April,Monday,BB,FRA,Online TA,TA/TO,F,No Deposit,Transient,9.0,,0
140,2017,28,10,1,5,2,0,0,0,0,0,0,0,183.83,0,1,6,2,0,1,0,91.915,0.0,Resort Hotel,July,Monday,BB,ESP,Online TA,TA/TO,E,No Deposit,Transient,240.0,,1
4,2017,5,30,1,5,2,2,0,0,0,0,0,0,123.0,0,0,6,4,1,1,0,30.75,0.0,City Hotel,January,Monday,BB,PRT,Offline TA/TO,TA/TO,E,No Deposit,Transient,27.0,,1
72,2016,13,24,1,3,2,0,0,0,0,0,0,0,62.38,0,0,4,2,0,1,0,31.19,0.0,City Hotel,March,Thursday,BB,ESP,Offline TA/TO,TA/TO,A,No Deposit,Transient,6.0,,0
21,2015,41,10,1,1,2,0,0,0,0,0,0,0,49.2,0,1,2,2,0,1,0,24.6,0.0,Resort Hotel,October,Saturday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,314.0,,1
184,2017,31,31,1,5,2,0,0,0,0,0,0,0,175.5,0,1,6,2,0,1,0,87.75,0.0,City Hotel,July,Monday,HB,GBR,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
58,2016,42,10,1,3,2,0,0,0,0,0,0,0,132.3,0,1,4,2,0,1,0,66.15,0.0,City Hotel,October,Monday,BB,ITA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
78,2017,17,29,2,5,2,2,0,0,0,0,1,0,120.14,0,2,7,4,1,1,0,30.035,0.0,Resort Hotel,April,Saturday,BB,HRV,Online TA,TA/TO,C,No Deposit,Transient,240.0,,1
21,2016,48,26,0,1,2,0,0,0,0,0,3,0,107.0,1,0,1,2,0,1,0,53.5,0.0,City Hotel,November,Saturday,BB,DEU,Direct,Direct,A,No Deposit,Transient,14.0,,0
32,2015,30,25,2,5,2,0,0,0,0,0,0,0,176.0,1,0,7,2,0,1,0,88.0,0.0,Resort Hotel,July,Saturday,BB,PRT,Online TA,TA/TO,E,No Deposit,Transient,240.0,,0
43,2017,23,9,2,2,2,0,0,0,0,0,0,0,150.0,0,2,4,2,0,1,0,75.0,0.0,City Hotel,June,Friday,BB,AUT,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
109,2016,14,2,2,5,2,0,0,0,0,0,1,0,74.89,0,0,7,2,0,1,0,37.445,0.0,City Hotel,April,Saturday,BB,PRT,Online TA,TA/TO,B,No Deposit,Transient,9.0,,0
55,2017,1,2,1,2,1,0,0,0,0,0,0,0,43.0,1,2,3,1,0,1,0,43.0,0.0,Resort Hotel,January,Monday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
83,2016,18,25,1,2,2,0,0,0,0,0,0,0,105.3,1,2,3,2,0,1,0,52.65,0.0,City Hotel,April,Monday,BB,RUS,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
10,2016,7,13,2,2,2,0,0,0,0,0,0,0,85.0,0,0,4,2,0,1,0,42.5,0.0,City Hotel,February,Saturday,BB,FRA,Offline TA/TO,TA/TO,A,No Deposit,Transient,28.0,,0
126,2017,18,4,0,3,2,0,0,0,0,0,0,0,108.0,0,1,3,2,0,1,0,54.0,0.0,City Hotel,May,Thursday,SC,GBR,Online TA,TA/TO,A,No Deposit,Transient,8.0,,0
2,2016,44,27,0,1,1,0,0,0,0,0,0,0,75.0,0,0,1,1,0,0,1,75.0,0.0,City Hotel,October,Thursday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,40.0,0
55,2015,40,27,3,5,2,0,0,0,0,0,0,0,74.2,0,0,8,2,0,1,0,37.1,0.0,Resort Hotel,September,Sunday,BB,PRT,Direct,Direct,D,No Deposit,Transient,250.0,,1
315,2017,33,14,1,2,2,0,0,0,0,0,0,0,172.8,0,3,3,2,0,1,0,86.4,0.0,Resort Hotel,August,Monday,BB,JPN,Online TA,TA/TO,E,No Deposit,Transient,240.0,,0
0,2016,26,22,0,1,1,0,0,0,0,0,0,0,129.0,0,1,1,1,0,1,0,129.0,0.0,City Hotel,June,Wednesday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
0,2016,35,22,1,3,2,0,0,0,0,0,0,0,142.92,0,0,4,2,0,1,0,71.46,0.0,City Hotel,August,Monday,BB,BEL,Direct,Direct,D,No Deposit,Transient,14.0,,0
0,2016,45,30,1,0,1,0,0,0,0,0,0,0,140.0,0,0,1,1,0,0,0,140.0,0.0,City Hotel,October,Sunday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,,,0
21,2017,31,1,0,1,2,0,0,0,0,0,0,0,108.0,0,1,1,2,0,1,0,54.0,0.0,City Hotel,August,Tuesday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
3,2016,11,7,1,1,1,0,0,1,0,1,0,0,80.0,0,0,2,1,0,1,0,80.0,0.0,City Hotel,March,Monday,BB,FRA,Corporate,Corporate,A,No Deposit,Transient,91.0,,0
26,2016,15,5,2,5,2,0,0,0,0,0,0,0,64.0,0,0,7,2,0,1,0,32.0,0.0,Resort Hotel,April,Tuesday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
131,2017,16,16,2,5,2,0,0,0,0,0,0,0,80.0,0,0,7,2,0,1,0,40.0,0.0,Resort Hotel,April,Sunday,HB,PRT,Groups,TA/TO,A,No Deposit,Transient-Party,493.0,,1
28,2015,32,6,1,3,3,0,0,0,0,0,0,0,239.3,0,1,4,3,0,1,0,79.76666666666667,0.0,Resort Hotel,August,Thursday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,242.0,,1
74,2016,14,31,0,3,2,0,0,0,0,0,0,0,85.5,0,0,3,2,0,1,0,42.75,0.0,City Hotel,March,Thursday,SC,IRL,Direct,Direct,A,No Deposit,Transient,14.0,,0
77,2016,15,8,2,2,2,0,0,0,0,0,0,0,80.75,0,2,4,2,0,1,0,40.375,0.0,City Hotel,April,Friday,BB,BRA,Direct,Direct,A,No Deposit,Transient,14.0,,0
0,2017,32,7,1,2,2,0,0,0,0,0,0,0,150.0,0,0,3,2,0,0,0,75.0,0.0,City Hotel,August,Monday,BB,PRT,Direct,Direct,D,No Deposit,Transient,,,1
0,2016,6,5,0,1,2,0,0,0,0,0,0,0,58.0,1,2,1,2,0,0,0,29.0,0.0,Resort Hotel,February,Friday,BB,PRT,Direct,Direct,E,No Deposit,Transient,,,0
49,2016,13,21,1,3,2,0,0,0,0,0,0,0,67.32,0,0,4,2,0,1,0,33.66,0.0,City Hotel,March,Monday,BB,DZA,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,118.0,,0
190,2017,18,6,2,2,2,0,1,0,0,0,1,0,117.0,0,3,4,3,1,1,0,39.0,0.0,City Hotel,May,Saturday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
157,2015,34,17,2,5,2,1,0,0,0,0,0,0,187.0,0,2,7,3,1,1,0,62.333333333333336,0.0,Resort Hotel,August,Monday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,1
166,2015,31,1,2,5,2,1,0,0,0,0,0,0,210.43,1,2,7,3,1,1,0,70.14333333333333,0.0,Resort Hotel,August,Saturday,BB,PRT,Online TA,TA/TO,G,No Deposit,Transient,240.0,,0
69,2016,20,9,1,4,1,1,0,0,0,0,0,0,135.15,0,2,5,2,1,1,0,67.575,0.0,City Hotel,May,Monday,BB,BEL,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
2,2016,42,15,0,1,2,0,0,0,0,0,0,0,149.0,1,1,1,2,0,1,0,74.5,0.0,City Hotel,October,Saturday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
43,2016,23,31,0,3,1,0,0,0,0,0,0,0,115.5,0,0,3,1,0,1,0,115.5,0.0,City Hotel,May,Tuesday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
174,2017,28,11,0,2,3,1,0,0,0,0,0,0,174.75,0,0,2,4,1,1,0,43.6875,0.0,City Hotel,July,Tuesday,BB,FRA,Direct,Direct,E,No Deposit,Transient,14.0,,0
4,2016,48,26,2,1,1,0,0,0,0,0,0,0,43.0,0,1,3,1,0,1,0,43.0,0.0,Resort Hotel,November,Saturday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
11,2016,20,8,2,1,2,0,0,0,0,0,0,0,126.0,0,1,3,2,0,1,0,63.0,0.0,City Hotel,May,Sunday,BB,FRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
198,2017,26,1,2,3,2,1,1,0,0,0,1,0,174.0,1,0,5,4,1,1,0,43.5,0.0,Resort Hotel,July,Saturday,BB,CHE,Direct,Direct,G,No Deposit,Transient,250.0,,0
1,2016,18,28,0,1,2,0,0,0,0,0,0,0,86.0,1,0,1,2,0,1,0,43.0,0.0,Resort Hotel,April,Thursday,BB,PRT,Direct,Direct,D,No Deposit,Transient,250.0,,0
32,2017,10,5,2,5,2,0,0,0,0,0,0,0,100.3,0,1,7,2,0,1,0,50.15,0.0,City Hotel,March,Sunday,BB,IRL,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
80,2015,49,4,2,2,2,0,0,0,1,0,1,0,110.2,0,0,4,2,0,1,0,55.1,1.0,City Hotel,December,Friday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,10.0,,1
72,2017,18,3,2,4,2,0,0,0,0,0,2,0,116.67,0,1,6,2,0,1,0,58.335,0.0,Resort Hotel,May,Wednesday,BB,SWE,Online TA,TA/TO,E,No Deposit,Transient,240.0,,0
0,2016,11,10,0,1,1,0,0,0,0,0,1,0,50.0,0,0,1,1,0,0,0,50.0,0.0,Resort Hotel,March,Thursday,BB,ESP,Direct,Direct,A,No Deposit,Transient,,,0
327,2015,37,9,2,4,2,0,0,0,0,0,0,0,88.0,0,1,6,2,0,1,0,44.0,0.0,City Hotel,September,Wednesday,HB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,21.0,,0
213,2016,41,6,0,1,2,0,0,0,0,1,0,0,122.4,0,1,1,2,0,1,0,61.2,0.0,City Hotel,October,Thursday,BB,DEU,Online TA,TA/TO,D,No Deposit,Group,8.0,,0
294,2016,44,23,2,3,2,0,0,0,0,0,0,0,76.58,0,1,5,2,0,1,0,38.29,0.0,City Hotel,October,Sunday,BB,GBR,Online TA,TA/TO,D,No Deposit,Transient,7.0,,0
1,2016,49,29,0,1,2,0,1,0,0,0,1,0,48.0,0,1,1,3,1,1,0,16.0,0.0,Resort Hotel,November,Tuesday,BB,NZL,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
68,2016,13,24,1,3,2,0,0,0,0,0,1,0,61.8,1,1,4,2,0,1,0,30.9,0.0,Resort Hotel,March,Thursday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,242.0,,0
4,2015,45,2,1,2,1,0,0,0,0,0,1,0,117.0,0,0,3,1,0,1,0,117.0,0.0,City Hotel,November,Monday,BB,NZL,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
6,2016,38,15,0,2,1,0,0,0,0,0,0,0,159.0,0,1,2,1,0,1,0,159.0,0.0,City Hotel,September,Thursday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
78,2017,2,13,0,2,2,0,0,0,0,0,0,0,54.27,0,1,2,2,0,1,0,27.135,0.0,Resort Hotel,January,Friday,BB,ESP,Direct,Direct,F,No Deposit,Transient,250.0,,1
188,2016,26,21,4,10,2,0,0,0,0,0,0,0,74.57,0,1,14,2,0,1,0,37.285,0.0,Resort Hotel,June,Tuesday,BB,NOR,Online TA,TA/TO,A,No Deposit,Transient,242.0,,0
17,2015,39,26,2,1,1,0,0,0,0,0,1,0,170.0,0,0,3,1,0,1,0,170.0,0.0,City Hotel,September,Saturday,BB,GBR,Groups,TA/TO,A,No Deposit,Transient-Party,1.0,,0
2,2016,21,16,1,0,2,0,0,0,0,0,0,0,89.0,0,1,1,2,0,1,0,44.5,0.0,City Hotel,May,Monday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
198,2015,40,3,1,1,2,0,0,0,0,0,0,0,60.0,0,1,2,2,0,1,0,30.0,0.0,City Hotel,October,Saturday,BB,FRA,Groups,TA/TO,A,No Deposit,Transient-Party,1.0,,0
173,2016,28,4,3,8,2,1,0,0,0,0,0,0,122.85,0,2,11,3,1,1,0,40.95,0.0,Resort Hotel,July,Monday,Undefined,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,196.0,,0
12,2016,46,12,2,2,2,0,0,0,0,0,0,0,100.94,0,3,4,2,0,1,0,50.47,0.0,City Hotel,November,Saturday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
89,2015,53,30,1,4,1,0,0,0,0,0,0,0,109.2,0,0,5,1,0,0,0,109.2,0.0,Resort Hotel,December,Wednesday,HB,PRT,Direct,Direct,A,No Deposit,Transient,,,0
8,2016,46,7,1,3,2,0,0,0,0,0,0,0,120.47,0,1,4,2,0,1,0,60.235,0.0,City Hotel,November,Monday,BB,IND,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
100,2016,21,15,2,0,3,0,0,0,0,0,4,0,210.6,0,2,2,3,0,1,0,70.2,0.0,City Hotel,May,Sunday,HB,ESP,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
114,2017,33,17,0,3,2,0,0,0,0,0,1,0,125.0,0,3,3,2,0,1,0,62.5,0.0,City Hotel,August,Thursday,SC,GBR,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
6,2015,39,21,1,2,2,0,0,0,0,0,0,0,114.0,0,1,3,2,0,1,0,57.0,0.0,City Hotel,September,Monday,SC,PRT,Online TA,TA/TO,A,No Deposit,Contract,9.0,,0
215,2015,42,12,3,7,2,0,0,0,0,0,0,0,59.2,0,0,10,2,0,1,0,29.6,0.0,Resort Hotel,October,Monday,BB,GBR,Offline TA/TO,TA/TO,E,No Deposit,Transient,95.0,,0
32,2016,30,18,1,1,2,0,0,0,0,0,0,0,105.0,0,1,2,2,0,1,0,52.5,0.0,City Hotel,July,Monday,BB,FRA,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,39.0,,0
336,2016,38,15,1,3,2,0,0,0,0,0,1,0,73.5,1,0,4,2,0,0,1,36.75,0.0,Resort Hotel,September,Thursday,BB,GBR,Groups,Direct,A,No Deposit,Transient-Party,,223.0,0
64,2016,33,13,2,5,2,0,0,0,0,0,0,0,241.0,0,0,7,2,0,1,0,120.5,0.0,Resort Hotel,August,Saturday,HB,PRT,Online TA,TA/TO,D,No Deposit,Transient,240.0,,0
57,2017,33,19,2,5,2,0,0,0,0,0,0,0,283.43,0,4,7,2,0,1,0,141.715,0.0,Resort Hotel,August,Saturday,BB,ESP,Online TA,TA/TO,E,No Deposit,Transient-Party,240.0,,0
294,2016,26,21,0,5,2,0,0,0,0,0,0,0,64.8,0,1,5,2,0,1,0,32.4,0.0,Resort Hotel,June,Tuesday,BB,ITA,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
344,2015,39,26,2,1,2,0,0,0,1,0,0,0,170.0,0,0,3,2,0,1,0,85.0,1.0,City Hotel,September,Saturday,BB,PRT,Groups,TA/TO,A,Non Refund,Transient,1.0,,1
0,2016,40,30,1,2,1,0,0,0,0,0,3,0,131.0,0,0,3,1,0,0,1,131.0,0.0,City Hotel,September,Friday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,331.0,0
13,2016,8,14,1,0,2,0,0,0,0,0,0,0,58.0,0,2,1,2,0,1,0,29.0,0.0,Resort Hotel,February,Sunday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
1,2015,39,23,0,1,2,0,0,0,0,0,0,0,152.0,0,0,1,2,0,1,0,76.0,0.0,City Hotel,September,Wednesday,SC,PRT,Online TA,TA/TO,A,No Deposit,Contract,9.0,,0
69,2017,23,8,0,2,3,0,0,0,0,0,0,0,188.5,0,0,2,3,0,1,0,62.833333333333336,0.0,City Hotel,June,Thursday,BB,FRA,Direct,Direct,D,No Deposit,Transient,14.0,,0
55,2016,9,24,0,2,2,0,0,0,0,0,0,0,56.0,0,0,2,2,0,1,0,28.0,0.0,City Hotel,February,Wednesday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,85.0,,1
1,2017,3,21,0,1,2,0,1,0,0,0,1,0,80.0,0,2,1,3,1,1,0,26.666666666666668,0.0,Resort Hotel,January,Saturday,HB,ESP,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
7,2017,15,11,0,1,2,0,0,0,0,0,0,0,105.0,0,1,1,2,0,1,0,52.5,0.0,Resort Hotel,April,Tuesday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient-Party,240.0,,0
243,2017,31,4,0,1,2,0,0,0,0,0,1,0,112.5,0,1,1,2,0,1,0,56.25,0.0,City Hotel,August,Friday,BB,NLD,Online TA,TA/TO,A,No Deposit,Transient-Party,9.0,,0
4,2015,34,22,2,5,2,0,0,0,0,0,0,0,135.0,0,0,7,2,0,1,0,67.5,0.0,Resort Hotel,August,Saturday,HB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,196.0,,0
63,2016,24,8,0,3,3,0,0,0,0,0,0,0,159.3,0,0,3,3,0,1,0,53.1,0.0,City Hotel,June,Wednesday,BB,FRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
44,2017,25,19,2,5,2,0,0,0,0,0,0,0,112.91,0,1,7,2,0,1,0,56.455,0.0,City Hotel,June,Monday,BB,NOR,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
281,2017,30,29,2,1,3,1,0,0,0,0,0,0,261.0,0,2,3,4,1,1,0,65.25,0.0,Resort Hotel,July,Saturday,BB,BEL,Online TA,TA/TO,H,No Deposit,Transient,240.0,,0
171,2016,35,21,2,5,2,0,0,0,0,0,0,0,104.55,0,0,7,2,0,1,0,52.275,0.0,Resort Hotel,August,Sunday,BB,GBR,Offline TA/TO,TA/TO,D,No Deposit,Contract,243.0,,0
94,2015,33,15,2,3,2,0,0,0,0,0,0,0,233.0,0,0,5,2,0,1,0,116.5,0.0,Resort Hotel,August,Saturday,BB,PRT,Online TA,TA/TO,G,No Deposit,Transient,240.0,,0
170,2017,26,30,1,2,2,2,0,0,0,0,1,0,182.4,0,1,3,4,1,1,0,45.6,0.0,City Hotel,June,Friday,HB,POL,Online TA,TA/TO,F,No Deposit,Transient,9.0,,0
13,2017,19,9,0,3,2,0,0,0,0,0,1,0,160.0,0,0,3,2,0,1,0,80.0,0.0,City Hotel,May,Tuesday,BB,CHE,Direct,Direct,A,No Deposit,Transient,14.0,,0
13,2017,18,1,1,4,2,0,0,0,0,0,0,0,105.0,0,2,5,2,0,1,0,52.5,0.0,Resort Hotel,May,Monday,BB,ROU,Online TA,TA/TO,D,No Deposit,Transient,240.0,,1
241,2017,21,25,1,3,3,0,0,0,0,0,0,0,161.88,0,2,4,3,0,1,0,53.96,0.0,City Hotel,May,Thursday,BB,DEU,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
16,2016,16,16,0,1,2,0,0,0,0,0,1,0,84.0,0,0,1,2,0,1,0,42.0,0.0,Resort Hotel,April,Saturday,HB,ESP,Online TA,TA/TO,A,No Deposit,Transient,314.0,,0
45,2016,9,24,0,3,2,0,0,0,0,0,0,0,67.5,0,1,3,2,0,1,0,33.75,0.0,City Hotel,February,Wednesday,SC,NLD,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
2,2016,43,16,1,0,1,0,0,0,0,0,0,0,72.0,1,2,1,1,0,1,0,72.0,0.0,Resort Hotel,October,Sunday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
166,2016,28,6,0,4,2,0,0,0,0,0,0,0,90.95,0,1,4,2,0,1,0,45.475,0.0,City Hotel,July,Wednesday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
162,2016,33,13,2,5,2,2,0,0,0,0,1,0,189.0,0,1,7,4,1,1,0,47.25,0.0,Resort Hotel,August,Saturday,BB,IRL,Direct,Direct,C,No Deposit,Transient,250.0,,1
